Title,Movie Link,Year,Duration,MPA,Rating,Votes
97. Doom,https://www.imdb.com/title/tt0419706/?ref_=sr_t_97,2005,1h 45m,R,5.2,121K
98. xXx: State of the Union,https://www.imdb.com/title/tt0329774/?ref_=sr_t_98,2005,1h 41m,PG-13,4.5,75K
99. Elizabethtown,https://www.imdb.com/title/tt0368709/?ref_=sr_t_99,2005,2h 3m,PG-13,6.3,74K
100. The Descent,https://www.imdb.com/title/tt0435625/?ref_=sr_t_100,2005,1h 39m,R,7.2,256K
101. Æon Flux,https://www.imdb.com/title/tt0402022/?ref_=sr_t_101,2005,1h 33m,PG-13,5.4,134K
102. Serenity,https://www.imdb.com/title/tt0379786/?ref_=sr_t_102,2005,1h 59m,PG-13,7.8,309K
103. Dark Water,https://www.imdb.com/title/tt0382628/?ref_=sr_t_103,2005,1h 45m,PG-13,5.6,66K
104. Thank You for Smoking,https://www.imdb.com/title/tt0427944/?ref_=sr_t_104,2005,1h 32m,R,7.5,231K
105. Unleashed,https://www.imdb.com/title/tt0342258/?ref_=sr_t_105,2005,1h 43m,R,7.0,109K
106. Elektra,https://www.imdb.com/title/tt0357277/?ref_=sr_t_106,2005,1h 37m,PG-13,4.7,101K
107. Ice Princess,https://www.imdb.com/title/tt0396652/?ref_=sr_t_107,2005,1h 38m,G,6.0,29K
108. Lord of War,https://www.imdb.com/title/tt0399295/?ref_=sr_t_108,2005,2h 2m,R,7.6,345K
109. Match Point,https://www.imdb.com/title/tt0416320/?ref_=sr_t_109,2005,2h 4m,R,7.6,232K
110. Two for the Money,https://www.imdb.com/title/tt0417217/?ref_=sr_t_110,2005,2h 2m,R,6.2,50K
111. Prime,https://www.imdb.com/title/tt0387514/?ref_=sr_t_111,2005,1h 45m,PG-13,6.2,42K
112. Deuce Bigalow: European Gigolo,https://www.imdb.com/title/tt0367652/?ref_=sr_t_112,2005,1h 23m,R,4.7,54K
113. Hustle & Flow,https://www.imdb.com/title/tt0410097/?ref_=sr_t_113,2005,1h 56m,R,7.3,44K
114. A Lot Like Love,https://www.imdb.com/title/tt0391304/?ref_=sr_t_114,2005,1h 47m,PG-13,6.6,72K
115. Land of the Dead,https://www.imdb.com/title/tt0418819/?ref_=sr_t_115,2005,1h 33m,R,6.2,102K
116. Assault on Precinct 13,https://www.imdb.com/title/tt0398712/?ref_=sr_t_116,2005,1h 49m,R,6.3,83K
117. Man of the House,https://www.imdb.com/title/tt0331933/?ref_=sr_t_117,2005,1h 40m,PG-13,5.5,26K
118. Valiant,https://www.imdb.com/title/tt0361089/?ref_=sr_t_118,2005,1h 16m,G,5.5,25K
119. The Producers,https://www.imdb.com/title/tt0395251/?ref_=sr_t_119,2005,2h 14m,PG-13,6.3,45K
120. Cursed,https://www.imdb.com/title/tt0257516/?ref_=sr_t_120,2005,1h 37m,PG-13,5.1,36K
121. Into the Blue,https://www.imdb.com/title/tt0378109/?ref_=sr_t_121,2005,1h 50m,PG-13,5.9,81K
122. The Upside of Anger,https://www.imdb.com/title/tt0365885/?ref_=sr_t_122,2005,1h 58m,R,6.8,23K
123. North Country,https://www.imdb.com/title/tt0395972/?ref_=sr_t_123,2005,2h 6m,R,7.3,46K
124. Pooh's Heffalump Movie,https://www.imdb.com/title/tt0407121/?ref_=sr_t_124,2005,1h 8m,G,6.4,8.8K
125. Roll Bounce,https://www.imdb.com/title/tt0403455/?ref_=sr_t_125,2005,1h 52m,PG-13,6.2,8K
126. The Devil's Rejects,https://www.imdb.com/title/tt0395584/?ref_=sr_t_126,2005,1h 47m,R,6.7,108K
127. Son of the Mask,https://www.imdb.com/title/tt0362165/?ref_=sr_t_127,2005,1h 34m,PG,2.3,60K
128. Rebound,https://www.imdb.com/title/tt0376108/?ref_=sr_t_128,2005,1h 26m,PG,5.2,14K
129. The Perfect Man,https://www.imdb.com/title/tt0380623/?ref_=sr_t_129,2005,1h 40m,PG,5.5,32K
130. An American Haunting,https://www.imdb.com/title/tt0429573/?ref_=sr_t_130,2005,1h 23m,PG-13,5.0,27K
131. Wolf Creek,https://www.imdb.com/title/tt0416315/?ref_=sr_t_131,2005,1h 39m,R,6.2,81K
132. Waiting...,https://www.imdb.com/title/tt0348333/?ref_=sr_t_132,2005,1h 34m,R,6.7,109K
133. The Gospel,https://www.imdb.com/title/tt0451069/?ref_=sr_t_133,2005,1h 45m,PG,5.1,2.3K
134. The Greatest Game Ever Played,https://www.imdb.com/title/tt0388980/?ref_=sr_t_134,2005,2h,PG,7.4,34K
135. The Cave,https://www.imdb.com/title/tt0402901/?ref_=sr_t_135,2005,1h 37m,PG-13,5.2,42K
136. Broken Flowers,https://www.imdb.com/title/tt0412019/?ref_=sr_t_136,2005,1h 46m,R,7.1,108K
137. The Honeymooners,https://www.imdb.com/title/tt0373908/?ref_=sr_t_137,2005,1h 30m,PG-13,3.5,7.6K
138. The New World,https://www.imdb.com/title/tt0402399/?ref_=sr_t_138,2005,2h 15m,PG-13,6.7,91K
139. The Matador,https://www.imdb.com/title/tt0365485/?ref_=sr_t_139,2005,1h 36m,R,6.7,47K
140. The Weather Man,https://www.imdb.com/title/tt0384680/?ref_=sr_t_140,2005,1h 42m,R,6.6,84K
141. The Protector,https://www.imdb.com/title/tt0427954/?ref_=sr_t_141,2005,1h 51m,R,7.0,40K
142. End of the Spear,https://www.imdb.com/title/tt0399862/?ref_=sr_t_142,2005,1h 48m,PG-13,6.8,5.6K
143. Dave Chappelle's Block Party,https://www.imdb.com/title/tt0425598/?ref_=sr_t_143,2005,1h 43m,R,7.2,9.7K
144. Casanova,https://www.imdb.com/title/tt0402894/?ref_=sr_t_144,2005,1h 52m,R,6.5,57K
145. Lords of Dogtown,https://www.imdb.com/title/tt0355702/?ref_=sr_t_145,2005,1h 47m,PG-13,7.1,59K
146. Mrs. Henderson Presents,https://www.imdb.com/title/tt0413015/?ref_=sr_t_146,2005,1h 43m,R,7.0,17K
147. Shopgirl,https://www.imdb.com/title/tt0338427/?ref_=sr_t_147,2005,1h 46m,R,6.3,25K
148. In the Mix,https://www.imdb.com/title/tt0426615/?ref_=sr_t_148,2005,1h 35m,PG-13,3.0,8.7K
149. Domino,https://www.imdb.com/title/tt0421054/?ref_=sr_t_149,2005,2h 7m,R,5.9,70K
150. The Great Raid,https://www.imdb.com/title/tt0326905/?ref_=sr_t_150,2005,2h 12m,R,6.6,24K
151. Cry Wolf,https://www.imdb.com/title/tt0384286/?ref_=sr_t_151,2005,1h 30m,,5.8,29K
152. The Ice Harvest,https://www.imdb.com/title/tt0400525/?ref_=sr_t_152,2005,1h 32m,R,6.2,25K
153. Transamerica,https://www.imdb.com/title/tt0407265/?ref_=sr_t_153,2005,1h 43m,R,7.3,43K
154. Aliens of the Deep,https://www.imdb.com/title/tt0417415/?ref_=sr_t_154,2005,1h 40m,G,6.3,3.5K
155. An Unfinished Life,https://www.imdb.com/title/tt0350261/?ref_=sr_t_155,2005,1h 48m,PG-13,7.0,35K
156. The Man,https://www.imdb.com/title/tt0399327/?ref_=sr_t_156,2005,1h 23m,PG-13,5.5,27K
157. Mad Hot Ballroom,https://www.imdb.com/title/tt0438205/?ref_=sr_t_157,2005,1h 45m,PG,7.4,3.6K
158. The Return,https://www.imdb.com/title/tt0433442/?ref_=sr_t_158,2005,1h 25m,PG-13,4.7,12K
159. Proof,https://www.imdb.com/title/tt0377107/?ref_=sr_t_159,2005,1h 40m,PG-13,6.7,47K
160. The Squid and the Whale,https://www.imdb.com/title/tt0367089/?ref_=sr_t_160,2005,1h 21m,R,7.3,92K
161. The Aristocrats,https://www.imdb.com/title/tt0436078/?ref_=sr_t_161,2005,1h 29m,Not Rated,6.4,17K
162. The Jacket,https://www.imdb.com/title/tt0366627/?ref_=sr_t_162,2005,1h 43m,R,7.1,121K
163. Underclassman,https://www.imdb.com/title/tt0373416/?ref_=sr_t_163,2005,1h 35m,PG-13,4.4,6K
164. Water,https://www.imdb.com/title/tt0240200/?ref_=sr_t_164,2005,1h 57m,PG-13,7.7,16K
